Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,2943.85,2977.00,2916.15,2938.20,2950.667095401576326096,103405,11504,305113731.00,48255,46.67,60.85,-5.65
20-February-2024,2949.90,2949.90,2924.00,2940.75,2935.855281049506846691,104430,6247,306591367.00,72252,69.19,25.90,-9.15
19-February-2024,2921.35,2958.80,2907.55,2946.15,2934.313269008388348088,163441,12133,479587095.00,78402,47.97,51.25,24.80
16-February-2024,2945.05,2953.30,2917.35,2921.35,2926.681186007061670820,542931,20042,1588985943.00,76261,14.05,35.95,-23.70
15-February-2024,2963.40,2968.40,2932.90,2941.90,2946.123508506246870458,81881,14250,241231539.00,29413,35.92,35.50,-21.50
14-February-2024,2911.40,2966.60,2911.40,2962.60,2942.853080916329141776,122707,8937,361108673.00,74250,60.51,55.20,51.20
13-February-2024,2910.40,2957.80,2909.40,2928.95,2934.462991867501594911,322902,13850,947543969.00,245207,75.94,48.40,18.55
12-February-2024,2922.30,2922.35,2885.00,2902.95,2900.938399250030569406,147206,17705,427035538.00,87275,59.29,37.35,-19.35
9-February-2024,2905.00,2944.15,2902.60,2922.30,2923.983017123241287856,812171,30548,2374774211.00,121987,15.02,41.55,17.30
8-February-2024,2895.60,2919.75,2856.70,2902.95,2886.327226375582959868,98849,7477,285310560.00,33100,33.49,63.05,7.35
7-February-2024,2870.00,2898.00,2858.45,2883.40,2873.741809979033546325,320512,17141,921068735.00,194686,60.74,39.55,13.40
6-February-2024,2887.40,2887.40,2840.80,2856.80,2860.732431939242794205,115081,6943,329215949.00,50293,43.70,46.60,-30.60
5-February-2024,2921.20,2940.00,2864.00,2877.05,2911.268786307701917671,128072,8519,372852016.00,44011,34.36,76.00,-44.15
2-February-2024,2864.45,2949.90,2864.45,2914.75,2911.806905214328771063,653622,30556,1903221053.00,107676,16.47,85.45,50.30
1-February-2024,2871.20,2885.25,2836.70,2852.70,2858.016913247388812107,88274,10933,252288585.00,31217,35.36,48.55,-18.50
31-January-2024,2811.45,2869.45,2804.95,2853.20,2848.390850382690609361,108704,8366,309631479.00,35166,32.35,64.50,41.75
30-January-2024,2905.40,2917.95,2808.75,2814.85,2862.128469612458298719,303348,23247,868220947.00,154104,50.80,109.20,-90.55
29-January-2024,2713.20,2905.00,2713.20,2896.15,2837.836588385217549608,823950,65962,2338235457.00,539012,65.42,191.80,182.95
25-January-2024,2684.50,2725.00,2670.05,2710.35,2689.062295659891792801,2411115,25222,6483638437.00,1869909,77.55,54.95,25.85
24-January-2024,2660.00,2699.00,2649.00,2688.70,2664.282006584609299753,273061,9867,727511509.00,73230,26.82,50.00,28.70
23-January-2024,2732.15,2742.75,2645.00,2656.00,2683.774529067323577426,102297,8736,274542083.00,40375,39.47,97.75,-76.15
20-January-2024,2729.95,2765.05,2698.60,2713.20,2734.154685404396757828,171490,14801,468880187.00,86878,50.66,66.45,-16.75
19-January-2024,2753.00,2753.00,2716.85,2735.05,2732.508808360955431287,483007,23753,1319820882.00,64063,13.26,36.15,-17.95
18-January-2024,2700.00,2742.00,2700.00,2734.90,2724.864538123812758677,158982,9660,433204414.00,42448,26.70,42.00,34.90
17-January-2024,2729.85,2772.00,2711.00,2722.80,2740.407243099549464017,115862,8557,317509064.00,52496,45.31,61.00,-7.05
16-January-2024,2781.85,2792.50,2741.00,2747.65,2777.441366934540063977,153804,8546,427181592.00,83330,54.18,51.50,-34.20
15-January-2024,2746.90,2792.65,2732.00,2787.50,2766.695770042800693354,121727,10322,336781576.00,57781,47.47,60.65,40.60
12-January-2024,2718.40,2746.45,2691.55,2740.10,2735.488136968142112361,606506,30221,1659089968.00,104923,17.30,54.90,21.70
11-January-2024,2655.70,2724.95,2655.70,2718.40,2691.759522944842313223,344195,24161,926490169.00,185638,53.93,69.25,62.70
10-January-2024,2580.60,2658.95,2577.30,2649.95,2615.954762107506315488,458001,25020,1198109897.00,319204,69.70,81.65,69.35
9-January-2024,2597.35,2607.05,2576.25,2580.60,2597.966721738758883935,140422,6835,364811683.00,95610,68.09,30.80,-16.75
8-January-2024,2612.40,2632.00,2568.30,2586.10,2601.258842756082787625,87501,7032,227612750.00,33219,37.96,63.70,-26.30
5-January-2024,2600.15,2619.45,2597.95,2606.75,2605.657274201690600732,465515,24601,1212972546.00,99310,21.33,21.50,6.60
4-January-2024,2589.40,2609.75,2580.00,2597.40,2599.882922058751168626,162584,9815,422699365.00,103141,63.44,29.75,8.00
3-January-2024,2608.10,2634.00,2577.15,2582.95,2607.804848326992307048,107501,7371,280341629.00,43758,40.70,56.85,-25.15
2-January-2024,2587.65,2614.90,2573.50,2610.90,2592.670654166569976562,86186,8001,223451913.00,33574,38.96,41.40,23.25
1-January-2024,2581.05,2606.00,2573.55,2589.85,2587.308555461923981017,67641,6352,175008138.00,29008,42.89,32.45,8.80
