Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-February-2024,4018.85,4063.00,3980.00,3989.30,4021.810418375717801476,24380,3703,98051738.00,10230,41.96,83.00,-29.55
20-February-2024,4089.90,4098.85,4011.10,4029.95,4048.018029322414476291,30284,10021,122590178.00,15464,51.06,87.75,-59.95
19-February-2024,4119.15,4121.65,4055.10,4101.60,4089.562543983110485573,56840,7146,232450735.00,31404,55.25,66.55,-17.55
16-February-2024,4112.05,4147.00,4100.90,4129.20,4123.419008252017829177,132816,10303,547656019.00,23751,17.88,46.10,17.15
15-February-2024,4122.30,4145.00,4081.70,4102.00,4105.809709182505152278,39303,5405,161370639.00,20217,51.44,63.30,-20.30
14-February-2024,4102.05,4114.50,4049.55,4101.00,4087.580763920846755637,15211,2343,62176191.00,5808,38.18,64.95,-1.05
13-February-2024,4120.05,4169.35,4082.40,4149.15,4127.852399197226783433,21924,2625,90499036.00,11166,50.93,86.95,29.10
12-February-2024,4130.90,4159.35,4106.10,4119.05,4129.262791792332769651,57361,7806,236858643.00,37640,65.62,53.25,-11.85
9-February-2024,4130.00,4184.55,4098.40,4134.25,4133.264476578914843653,202275,20214,836056072.00,41307,20.42,86.15,4.25
8-February-2024,4090.00,4157.60,4085.75,4135.55,4127.763851874413056168,39399,4281,162629768.00,17876,45.37,71.85,45.55
7-February-2024,4140.15,4156.05,4072.85,4083.20,4085.312845410877537317,271054,4875,1107340388.00,245415,90.54,83.20,-56.95
6-February-2024,4000.00,4149.75,3987.10,4133.45,4109.491894007155635062,107328,13756,441063546.00,42301,39.41,162.65,133.45
5-February-2024,3973.60,4020.00,3960.45,3972.75,3999.497273701462430660,126912,16261,507584198.00,85716,67.54,59.55,-0.85
2-February-2024,3860.00,3982.05,3860.00,3966.35,3948.866383827741006226,178429,16918,704592280.00,38439,21.54,122.05,106.35
1-February-2024,3816.20,3904.70,3805.00,3851.45,3833.333643843128913672,780437,5552,2991675409.00,739259,94.72,99.70,35.25
31-January-2024,3804.15,3834.90,3797.00,3814.75,3813.248610424901185770,32384,3492,123488243.00,14752,45.55,37.90,10.60
30-January-2024,3801.50,3845.75,3786.00,3799.10,3822.736271129116455528,272018,6833,1039853075.00,248652,91.41,59.75,-2.40
29-January-2024,3807.85,3820.50,3782.00,3801.35,3807.918446787424327454,251247,3288,956728086.00,234767,93.44,38.50,-6.50
25-January-2024,3836.80,3855.00,3780.00,3808.20,3818.021819854662854183,1089054,25350,4158031935.00,692438,63.58,75.00,-28.60
24-January-2024,3862.20,3881.40,3805.00,3848.00,3844.650471957982884636,408405,11654,1570174476.00,285785,69.98,76.40,-14.20
23-January-2024,3900.00,3933.00,3844.25,3861.90,3885.269758227385509030,51991,4344,201999060.00,30712,59.07,88.75,-38.10
20-January-2024,3945.45,3953.95,3857.00,3860.60,3898.915404871626069782,21266,2331,82914335.00,9592,45.10,96.95,-84.85
19-January-2024,3930.00,3963.00,3917.40,3942.25,3939.859621496008911000,562002,25902,2214208987.00,163439,29.08,45.60,12.25
18-January-2024,3890.20,3908.00,3862.00,3903.50,3889.478742343320961950,99423,6246,386703645.00,14091,14.17,46.00,13.30
17-January-2024,3835.85,3910.00,3818.10,3884.15,3880.964648664343786295,41328,3964,160392507.00,16012,38.74,91.90,48.30
16-January-2024,3902.25,3902.25,3855.25,3861.00,3874.263056548905568436,25447,2776,98588372.00,13933,54.75,47.00,-41.25
15-January-2024,3952.45,3965.00,3885.00,3902.40,3915.528199201041339377,89116,9790,348936211.00,49790,55.87,80.00,-50.05
12-January-2024,3843.95,3905.75,3820.60,3881.70,3883.534830452765071626,1168288,49772,4537087140.00,352345,30.16,85.15,37.75
11-January-2024,3723.00,3772.00,3708.00,3736.20,3739.515234957550710087,205186,10641,767296173.00,150130,73.17,64.00,13.20
10-January-2024,3690.15,3730.00,3688.00,3713.70,3711.268837893379538219,99268,8875,368410235.00,73392,73.93,42.00,23.55
9-January-2024,3718.85,3752.10,3683.15,3690.15,3717.684808036328608779,87204,5066,324196986.00,61580,70.62,68.95,-28.70
8-January-2024,3737.75,3738.15,3671.05,3677.70,3697.009691027248888382,26313,3868,97279416.00,12045,45.78,67.10,-60.05
5-January-2024,3671.20,3746.90,3671.20,3737.75,3726.553537922235025584,226503,17793,844075556.00,67741,29.91,75.70,66.55
4-January-2024,3700.00,3719.15,3651.55,3667.00,3666.270452502247527719,113458,10057,415967713.00,80063,70.57,67.60,-33.00
3-January-2024,3770.00,3770.00,3688.20,3691.55,3710.651255226019196419,101894,15635,378093099.00,57107,56.05,81.80,-78.45
2-January-2024,3814.40,3814.40,3766.45,3783.25,3786.621209979503851862,28298,3037,107153807.00,15955,56.38,47.95,-31.15
1-January-2024,3792.00,3831.90,3772.80,3810.60,3803.632274555938012867,68853,8634,261891493.00,40802,59.26,59.10,18.60
